"","R","low","high","years"
"1",434618.128043461,209839.613001787,900177.590502866,1985
"2",166320.584558505,75608.0424925597,365867.650264918,1986
"3",73141.7607186505,31653.4895850211,169008.764315069,1987
"4",80763.323270617,34526.1311605136,188921.091546278,1988
"5",94125.5376789197,41644.8553510108,212742.168718583,1989
"6",159653.488316674,72658.9750832562,350806.439293639,1990
"7",283223.276622379,129254.18640703,620602.137930857,1991
"8",83331.8410492527,38465.2122977639,180531.844693903,1992
"9",189464.313214976,87667.3453865248,409465.18710877,1993
"10",347557.617179173,157554.963926434,766693.059037272,1994
"11",101439.36446857,44970.9690998843,228813.051391724,1995
"12",307340.480729199,139535.703356644,676946.249759652,1996
"13",394703.714929377,182302.110528191,854576.077740795,1997
"14",148060.957338936,69503.0938594631,315411.097129707,1998
"15",147694.944718176,70955.7611324414,307428.126302373,1999
"16",98032.686236419,47257.6877386004,203361.781555773,2000
"17",197107.708516565,96416.5879319188,402953.989453398,2001
"18",71176.425041039,34784.3619175282,145642.558964688,2002
"19",228723.301548022,111343.962970515,469844.500548996,2003
"20",93414.9842483002,44433.6733153993,196390.679207831,2004
"21",85205.7972130954,38785.8486802953,187182.390633301,2005
"22",42921.3810731857,18642.4186030615,98820.0615196508,2006
"23",26864.2635858008,12025.1794724622,60014.7930981037,2007
"24",126299.513107041,60233.2928485324,264829.735461893,2008
"25",55185.4311385372,25573.2976033398,119086.394612969,2009
"26",85766.2006497444,39546.5845749035,186004.461648511,2010
"27",71066.5909846388,33015.6946942161,152971.500401677,2011
"28",165883.397550106,76804.6511544203,358276.499784388,2012
"29",93322.3428795873,42429.0505162016,205261.715135711,2013
"30",81339.806509404,35726.3687053368,185189.94128835,2014
"31",23884.5563229886,10411.2669240214,54793.7186616352,2015
"32",269551.692475933,122417.506832302,593527.157975644,2016
"33",15259.1160581652,6332.43707492382,36769.5122938675,2017
"34",27262.9146892573,11328.382842104,65610.9991790916,2018
"35",52717.2887535576,22174.0448360382,125331.781101535,2019
"36",60779.1490541579,26311.5539444603,140398.58563828,2020
"37",72099.9754458079,30881.1508941838,168335.904225162,2021
"38",145073.383326022,60085.76607814,350270.75334762,2022
"39",85091.1457612996,33424.3278612015,216623.745346138,2023
"40",35342.5610687358,18546.9202543682,67347.926543391,2024
