"year";"MI"
1950;4,96335774479303
1951;4,7933195632104
1952;4,97028422761222
1953;5,02294801990442
1954;5,01161234456539
1955;4,89186803563897
1956;5,0466805872122
1957;4,95984554641286
1958;4,82814693911144
1959;4,05408592520474
1960;4,6284009615747
1961;4,67320337713867
1962;4,72711304910888
1963;4,23830139699946
1964;4,22462633804536
1965;4,06100679631702
1966;4,98068627049052
1967;4,9517618722107
1968;4,41504096284417
1969;4,27942040337094
1970;4,2343811016455
1971;4,08229612850257
1972;3,95576462185322
1973;4,16529549748524
1974;3,89086109248205
1975;3,58655167774075
1976;4,14852979269641
1977;4,23425194078164
1978;3,90132864857249
1979;4,43999703487662
1980;4,25854638151303
1981;3,98115586965246
1982;4,31043599752616
1983;3,83210739286604
1984;3,6819141321152
1985;3,98487261916815
1986;4,04168376679622
1987;4,42298284888881
1988;3,81208902465023
1989;4,13896313836419
1990;3,78542676431065
1991;3,64294008198312
1992;3,3312552601987
1993;3,78367882748643
1994;3,80293955049137
1995;3,93544533590836
1996;3,5278410223181
1997;3,93897529078204
1998;3,76946684158709
1999;3,62764497011012
2000;3,4524058954668
2001;3,47979863149743
2002;3,07416279566202
2003;3,37319636386966
2004;3,52446711834859
2005;3,45861860899857
2006;3,33162795259248
2007;3,5909335020314
2008;3,35468293354559
2009;3,26985251711838
2010;3,60107985778094
2011;4,1825029654682
2012;4,08854949170924
2013;3,43910622159065
2014;3,53843642192477
2015;3,80604939489529
2016;3,13213546681366
2017;3,68562839723546
2018;2,93172204311776
2019;3,23515675590821
2020;3,27712069475919
2021;3,69580052052128
2022;4,10467707412776
2023;3,37023820688103
2024;3,27785110655708
